1,193.00,136.72,190.03,41.27,176.15,1,-1,-1,-1
1,192.00,155.33,202.13,56.16,161.99,1,-1,-1,-1
1,191.00,203.98,207.15,45.55,133.83,1,-1,-1,-1
1,190.00,378.62,188.92,166.43,234.13,1,-1,-1,-1
1,189.00,56.69,144.23,93.56,295.91,1,-1,-1,-1
1,188.00,281.93,187.47,79.93,209.54,1,-1,-1,-1
2,193.00,148.05,203.70,38.96,161.35,1,-1,-1,-1
2,192.00,168.08,225.55,49.87,134.75,1,-1,-1,-1
2,191.00,215.38,214.21,38.94,128.54,1,-1,-1,-1
2,190.00,396.82,179.78,153.45,243.34,1,-1,-1,-1
2,189.00,56.91,143.86,98.19,305.55,1,-1,-1,-1
2,188.00,271.55,194.00,84.90,201.97,1,-1,-1,-1
3,193.00,143.51,192.07,46.54,175.10,1,-1,-1,-1
3,192.00,172.95,218.88,51.63,138.54,1,-1,-1,-1
3,191.00,216.36,199.38,43.61,144.93,1,-1,-1,-1
3,190.00,409.86,173.97,135.91,241.59,1,-1,-1,-1
3,189.00,66.72,149.31,103.44,299.78,1,-1,-1,-1
3,188.00,265.68,188.28,77.41,195.13,1,-1,-1,-1
4,193.00,153.04,199.66,41.57,156.57,1,-1,-1,-1
4,192.00,176.19,212.05,54.21,147.44,1,-1,-1,-1
4,191.00,223.42,207.83,40.61,137.34,1,-1,-1,-1
4,190.00,418.29,172.66,133.57,249.70,1,-1,-1,-1
4,189.00,67.14,143.81,116.18,314.36,1,-1,-1,-1
4,188.00,262.36,194.49,77.54,196.07,1,-1,-1,-1
5,192.00,180.82,212.48,54.89,148.71,1,-1,-1,-1
5,191.00,228.72,210.71,41.39,136.97,1,-1,-1,-1
5,190.00,430.19,168.81,130.57,255.83,1,-1,-1,-1
5,189.00,74.72,137.07,135.69,312.57,1,-1,-1,-1
5,188.00,260.52,191.27,74.44,191.43,1,-1,-1,-1
6,192.00,179.62,214.93,54.35,146.74,1,-1,-1,-1
6,191.00,234.99,207.57,41.13,139.55,1,-1,-1,-1
6,190.00,437.64,176.15,119.33,245.28,1,-1,-1,-1
6,189.00,74.90,145.90,148.05,311.05,1,-1,-1,-1
6,188.00,253.77,188.61,67.84,188.08,1,-1,-1,-1
7,192.00,185.24,224.91,52.85,135.38,1,-1,-1,-1
7,190.00,446.28,174.96,114.71,247.47,1,-1,-1,-1
7,189.00,78.93,142.87,160.61,313.68,1,-1,-1,-1
7,188.00,244.17,189.26,67.30,182.54,1,-1,-1,-1
8,192.00,196.22,222.90,49.74,134.73,1,-1,-1,-1
8,190.00,458.24,179.80,104.69,246.08,1,-1,-1,-1
8,189.00,104.20,149.98,145.71,302.98,1,-1,-1,-1
